"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"504","Poland","Italy",1982,0,2,"l",0,2
"505","Bulgaria","Italy",1986,1,1,"t",0,0
"506","South Korea","Italy",1986,2,3,"l",0,0
"507","Nigeria","Italy",1994,1,2,"l",1,1
"508","Bulgaria","Italy",1994,1,2,"l",0,1
"509","Brazil","Italy",1994,0,0,"t",1,1
"510","Mexico","Italy",2002,1,1,"t",1,2
"511","South Korea","Italy",2002,2,1,"w",1,2
"512","Czech Republic","Italy",2006,0,2,"l",23,2
"513","Germany","Italy",2006,0,2,"l",23,2
"514","Slovakia","Italy",2010,3,2,"w",23,2
"515","England","Italy",2014,1,2,"l",9,3
"516","Argentina","Ivory Coast",2006,2,1,"w",3,4
"517","Netherlands","Ivory Coast",2006,2,1,"w",8,4
"518","Brazil","Ivory Coast",2010,3,1,"w",1,2
"519","North Korea","Ivory Coast",2010,0,3,"l",2,2
"520","Greece","Ivory Coast",2014,2,1,"w",5,5
"521","Colombia","Ivory Coast",2014,2,1,"w",0,5
"522","Japan","Jamaica",1998,1,2,"l",1,8
"523","Argentina","Jamaica",1998,5,0,"w",2,8
"524","Argentina","Japan",1998,1,0,"w",2,1
"525","Tunisia","Japan",2002,0,2,"l",2,1
"526","Australia","Japan",2006,3,1,"w",17,1
"527","Netherlands","Japan",2010,1,0,"w",12,1
"528","Denmark","Japan",2010,1,3,"l",3,1
"529","Paraguay","Japan",2010,0,0,"t",3,1
"530","Ivory Coast","Japan",2014,2,1,"w",5,1
"531","Belgium","Japan",2018,3,2,"w",12,1
"532","Colombia","Japan",2018,1,2,"l",1,1
"534","England","Kuwait",1982,1,0,"w",2,1
"535","France","Kuwait",1982,4,1,"w",10,1
"537","France","Mexico",1930,4,1,"w",2,1
"538","Chile","Mexico",1930,3,0,"w",0,1
"539","Argentina","Mexico",1930,6,3,"w",2,1
"540","Switzerland","Mexico",1950,2,1,"w",4,1
"541","Brazil","Mexico",1950,4,0,"w",1,1
"542","Yugoslavia","Mexico",1950,4,1,"w",0,1
"543","Brazil","Mexico",1954,5,0,"w",1,2
"544","France","Mexico",1954,3,2,"w",9,2
"545","Hungary","Mexico",1958,4,0,"w",0,2
"546","Sweden","Mexico",1958,3,0,"w",0,2
"547","Brazil","Mexico",1962,2,0,"w",0,0
"548","Spain","Mexico",1962,1,0,"w",4,0
"549","France","Mexico",1966,1,1,"t",3,0
"550","Uruguay","Mexico",1966,0,0,"t",2,0
"551","England","Mexico",1966,2,0,"w",2,0
"552","Italy","Mexico",1970,4,1,"w",1,0
"553","Poland","Mexico",1978,3,1,"w",1,0
"554","Tunisia","Mexico",1978,3,1,"w",0,0
"555","Germany","Mexico",1978,6,0,"w",1,0
"556","Iraq","Mexico",1986,0,1,"l",0,1
"557","Germany","Mexico",1986,0,0,"t",2,1
"558","Belgium","Mexico",1986,1,2,"l",1,1
"559","Norway","Mexico",1994,1,0,"w",1,1
"560","Italy","Mexico",1994,1,1,"t",1,1
"561","Netherlands","Mexico",1998,2,2,"t",9,1
"562","Germany","Mexico",1998,2,1,"w",22,1
"563","South Korea","Mexico",1998,1,3,"l",1,1
"564","Belgium","Mexico",1998,2,2,"t",5,1
"565","Croatia","Mexico",2002,0,1,"l",23,1
"566","Portugal","Mexico",2006,2,1,"w",7,3
"567","Argentina","Mexico",2006,2,1,"w",3,3
"568","Argentina","Mexico",2010,3,1,"w",4,1
"569","South Africa","Mexico",2010,1,1,"t",1,1
"570","France","Mexico",2010,0,2,"l",9,1
"571","Brazil","Mexico",2014,0,0,"t",0,1
"572","Croatia","Mexico",2014,1,3,"l",19,1
"573","Netherlands","Mexico",2014,2,1,"w",9,1
"574","Germany","Mexico",2018,0,1,"l",16,1
"575","South Korea","Mexico",2018,1,2,"l",0,1
"576","Brazil","Mexico",2018,2,0,"w",1,1
"579","Germany","Morocco",1970,2,1,"w",21,0
"580","Bulgaria","Morocco",1970,1,1,"t",0,0
"581","Peru","Morocco",1970,3,0,"w",0,0
"582","Portugal","Morocco",1986,1,3,"l",1,0
"583","England","Morocco",1986,0,0,"t",2,0
"584","Belgium","Morocco",1994,1,0,"w",2,0
"585","Saudi Arabia","Morocco",1994,2,1,"w",0,0
"586","Scotland","Morocco",1998,0,3,"l",3,2
"587","Brazil","Morocco",1998,3,0,"w",2,2
"588","Spain","Morocco",2018,2,2,"t",5,18
"589","Portugal","Morocco",2018,1,0,"w",10,18
"594","Switzerland","Netherlands",1934,3,2,"w",0,1
"596","Germany","Netherlands",1974,0,2,"l",7,0
"597","Uruguay","Netherlands",1974,0,2,"l",1,0
"598","Bulgaria","Netherlands",1974,1,4,"l",0,0
"599","Germany","Netherlands",1974,0,2,"l",2,0
"600","Argentina","Netherlands",1978,3,1,"w",0,0
"601","Germany","Netherlands",1978,2,2,"t",1,0
"602","Scotland","Netherlands",1978,3,2,"w",1,0
"603","England","Netherlands",1990,0,0,"t",3,9
"604","Germany","Netherlands",1990,2,1,"w",0,9
"605","Ireland","Netherlands",1990,1,1,"t",16,9
"606","Morocco","Netherlands",1994,1,2,"l",0,5
"607","Belgium","Netherlands",1994,1,0,"w",2,5
"608","Brazil","Netherlands",1998,1,1,"t",2,9
"609","Serbia and Montenegro","Netherlands",2006,0,1,"l",23,8
